Video;Editor;Scenestart (HH:MM:SS);Sceneend (HH:MM:SS);Eventtype;Additional Information;Unnamed: 6
9_Video_9;20;00:00:00;00:00:40;locationstay;outdoor, city, street;
9_Video_9;20;00:00:00;00:00:22;interaction;walk;
9_Video_9;20;00:00:22;00:00:27;interaction;read, information, wall, timetable;
9_Video_9;20;00:00:27;00:00:42;interaction;walk;
9_Video_9;20;00:00:40;00:01:57;locationstay;museum;
9_Video_9;20;00:00:51;00:00:55;mainmenu;minimap, open, close;
9_Video_9;20;00:00:42;00:01:01;interaction;stay, look around;
9_Video_9;20;00:01:01;00:01:08;interaction;walk;
9_Video_9;20;00:01:08;00:01:13;interaction;stop, wall;
9_Video_9;20;00:01:13;00:01:21;interaction;walk;
9_Video_9;20;00:01:21;00:01:29;interaction;stay, look around;
9_Video_9;20;00:01:29;00:01:30;interaction;walk;
9_Video_9;20;00:01:30;00:01:32;interaction;upstairs;
9_Video_9;20;00:01:32;00:01:36;interaction;walk;
9_Video_9;20;00:01:36;00:01:37;interaction;downstairs;
9_Video_9;20;00:01:37;00:01:52;interaction;walk;
9_Video_9;20;00:01:52;00:01:56;interaction;stay, look around;
9_Video_9;20;00:01:56;00:02:13;interaction;walk;
9_Video_9;20;00:01:57;00:02:22;locationstay;outdoor, city;
9_Video_9;20;00:02:13;00:02:22;interaction;stay, ;
9_Video_9;20;00:02:18;00:02:22;mainmenu;object, focus, click, bus, enter;
9_Video_9;20;00:02:22;00:02:45;locationstay;bus;
9_Video_9;20;00:02:22;00:02:45;interaction;sit, bus;
9_Video_9;20;00:02:30;00:02:34;mainmenu;object, focus, click; 
9_Video_9;20;00:02:45;00:04:02;locationstay;outdoor, city, street;
9_Video_9;20;00:02:45;00:03:46;interaction;walk ;
9_Video_9;20;00:03:46;00:04:02;interaction;stay,;
9_Video_9;20;00:03:51;00:03:54;mainmenu;minimap;
9_Video_9;20;00:03:58;00:04:02;mainmenu;home;
9_Video_9;20;00:04:02;00:04:21;teleport;location change;
9_Video_9;20;00:04:02;00:04:05;loadingscreen;load, new, area;
9_Video_9;20;00:04:05;00:05:00;locationstay;home, night, outdoor;
9_Video_9;20;00:04:21;00:04:24;interaction;walk;
9_Video_9;20;00:04:24;00:04:31;interaction;stay, look around;
9_Video_9;20;00:04:31;00:05:00;interaction;walk;
9_Video_10;20;00:00:00;00:03:08;locationstay;outdoor, night;
9_Video_10;20;00:00:00;00:00:05;mainmenu;menu, walk, close;
9_Video_10;20;00:00:00;00:00:07;interaction;stay;
9_Video_10;20;00:00:07;00:00:54;interaction;walk;
9_Video_10;20;00:00:54;00:01:01;interaction;stay;
9_Video_10;20;00:01:01;00:01:07;interaction;walk;
9_Video_10;20;00:01:07;00:02:30;interaction;stay, click;
9_Video_10;20;00:01:11;00:01:44;mainmenu;menu, info hub, browsing;
9_Video_10;20;00:01:46;00:05:00;dialog;chat;
9_Video_10;20;00:02:30;00:02:39;interaction;walk;
9_Video_10;20;00:02:39;00:03:03;interaction;stay;
9_Video_10;20;00:03:03;00:03:06;interaction;walk;
9_Video_10;20;00:03:06;00:03:08;interaction;upstairs;
9_Video_10;20;00:03:08;00:03:21;interaction;walk;
9_Video_10;20;00:03:08;00:05:00;locationstay;bar;
9_Video_10;20;00:03:21;00:03:35;interaction;stay;
9_Video_10;20;00:03:21;00:03:25;mainmenu;object, focus, click;
9_Video_10;20;00:03:27;00:03:29;mainmenu;object, focus, click;
9_Video_10;20;00:03:35;00:03:48;interaction;walk;
9_Video_10;20;00:03:48;00:03:51;mainmenu;object, focus, click, chair;
9_Video_10;20;00:03:51;00:04:24;interaction;sit;
9_Video_10;20;00:04:02;00:04:22;mainmenu;menu, camera;
9_Video_10;20;00:04:24;00:04:34;interaction;walk;
9_Video_10;20;00:04:34;00:05:00;interaction;stay;
9_Video_11;20;00:00:00;00:00:27;locationstay;bar;
9_Video_11;20;00:00:00;00:02:27;interaction;stay;
9_Video_11;20;00:00:07;00:00:27;mainmenu;search, places, museum, egypt;
9_Video_11;20;00:00:27;00:00:36;teleport;location change;
9_Video_11;20;00:00:27;00:00:32;loadingscreen;load, new, area;
9_Video_11;20;00:00:32;00:01:47;locationstay;indoor, museum;
9_Video_11;20;00:00:32;00:00:35;mainmenu;menu, search, close;
9_Video_11;20;00:00:32;00:00:51;interaction;stay, look around;
9_Video_11;20;00:00:51;00:01:01;interaction;walk;
9_Video_11;20;00:01:01;00:01:21;interaction;stay, look around;
9_Video_11;20;00:01:21;00:01:26;interaction;walk;
9_Video_11;20;00:01:26;00:01:28;interaction;stay;
9_Video_11;20;00:01:28;00:01:30;interaction;walk;
9_Video_11;20;00:01:30;00:01:40;interaction;stay, look around;
9_Video_11;20;00:01:40;00:01:52;interaction;walk;
9_Video_11;20;00:01:47;00:02:14;locationstay;outdoor;
9_Video_11;20;00:01:52;00:02:02;interaction;stay;
9_Video_11;20;00:02:02;00:02:06;interaction;walk;
9_Video_11;20;00:02:06;00:02:17;interaction;stay, look around;
9_Video_11;20;00:02:17;00:02:27;interaction;walk;
9_Video_11;20;00:02:24;00:02:44;locationstay;indoor, museum;
9_Video_11;20;00:02:27;00:02:32;interaction;stay;
9_Video_11;20;00:02:32;00:02:35;interaction;walk ;
9_Video_11;20;00:02:35;00:02:40;interaction;stay;
9_Video_11;20;00:02:40;00:03:00;interaction;walk;
9_Video_11;20;00:02:44;00:04:53;locationstay;outdoor;
9_Video_11;20;00:03:00;00:03:06;interaction;stay, look around;
9_Video_11;20;00:03:06;00:03:36;interaction;walk;
9_Video_11;20;00:03:36;00:03:45;interaction;stay, look around;
9_Video_11;20;00:03:45;00:04:28;interaction;walk;
9_Video_11;20;00:04:28;00:04:42;interaction;stay, look around;
9_Video_11;20;00:04:42;00:04:53;interaction;walk;
9_Video_12;20;00:00:00;00:00:09;locationstay;city, outdoor, street;
9_Video_12;20;00:00:00;00:00:04;interaction;stay;
9_Video_12;20;00:00:04;00:00:14;interaction;walk ;
9_Video_12;20;00:00:09;00:04:45;locationstay;bar, enter;
9_Video_12;20;00:00:14;00:00:15;interaction;stay, look around;
9_Video_12;20;00:00:15;00:00:17;interaction;walk;
9_Video_12;20;00:00:17;00:00:20;interaction;upstairs;
9_Video_12;20;00:00:20;00:00:26;interaction;walk;
9_Video_12;20;00:00:26;00:00:27;interaction;upstairs;
9_Video_12;20;00:00:27;00:00:30;interaction;walk;
9_Video_12;20;00:00:30;00:01:20;interaction;stay;
9_Video_12;20;00:00:44;00:01:20;dialog;chat;
9_Video_12;20;00:01:20;00:01:45;interaction;walk;
9_Video_12;20;00:01:45;00:01:46;interaction;downstairs;
9_Video_12;20;00:01:46;00:01:49;interaction;walk;
9_Video_12;20;00:01:49;00:01:56;interaction;stay, wall;
9_Video_12;20;00:01:56;00:01:59;interaction;walk;
9_Video_12;20;00:01:59;00:02:01;interaction;downstairs;
9_Video_12;20;00:02:01;00:02:08;interaction;walk;
9_Video_12;20;00:02:08;00:03:16;interaction;stay;
9_Video_12;20;00:02:13;00:02:56;dialog;chat;
9_Video_12;20;00:02:16;00:03:19;interaction;walk;
9_Video_12;20;00:03:19;00:03:35;interaction;stay;
9_Video_12;20;00:03:35;00:03:58;interaction;walk;
9_Video_12;20;00:03:58;00:04:01;mainmenu;object, focus, click;
9_Video_12;20;00:04:01;00:04:28;interaction;sit, play, video game;
9_Video_12;20;00:04:28;00:04:53;interaction;walk;
9_Video_12;20;00:04:45;00:04:58;locationstay;outdoor, city;
9_Video_12;20;00:04:53;00:04:58;interaction;stay;
9_Video_13;20;00:00:00;00:00:56;locationstay;outdoor, city, street;
9_Video_13;20;00:00:00;00:00:05;interaction;stay;
9_Video_13;20;00:00:05;00:00:12;interaction;walk;
9_Video_13;20;00:00:12;00:00:15;mainmenu;object, focus, click, sitdown;
9_Video_13;20;00:00:15;00:00:56;interaction;sit;
9_Video_13;20;00:00:25;00:00:56;mainmenu;search, places;
9_Video_13;20;00:00:56;00:01:04;teleport;location change;
9_Video_13;20;00:00:56;00:00:59;loadingscreen;load, new, area;
9_Video_13;20;00:01:04;00:05:00;locationstay;outdoor;
9_Video_13;20;00:01:04;00:01:32;interaction;stay, look around;
9_Video_13;20;00:01:32;00:01:34;interaction;walk;
9_Video_13;20;00:01:34;00:01:36;interaction;upstairs;
9_Video_13;20;00:01:36;00:01:45;interaction;walk;
9_Video_13;20;00:02:45;00:02:08;interaction;stay, click;
9_Video_13;20;00:01:45;00:01:52;mainmenu;object, info;
9_Video_13;20;00:02:08;00:02:10;interaction;walk;
9_Video_13;20;00:02:10;00:02:12;interaction;upstairs;
9_Video_13;20;00:02:12;00:02:15;interaction;turn around;
9_Video_13;20;00:02:15;00:02:18;interaction;downstairs;
9_Video_13;20;00:02:18;00:02:19;interaction;walk;
9_Video_13;20;00:02:19;00:02:21;interaction;upstairs;
9_Video_13;20;00:02:21;00:02:34;interaction;walk;
9_Video_13;20;00:02:34;00:03:39;interaction;stay;
9_Video_13;20;00:02:34;00:03:23;dialog;chat;
9_Video_13;20;00:03:39;00:03:44;interaction;walk;
9_Video_13;20;00:03:44;00:03:49;interaction;upstairs;
9_Video_13;20;00:03:49;00:03:52;interaction;downstairs;
9_Video_13;20;00:03:52;00:04:03;interaction;walk;
9_Video_13;20;00:04:03;00:04:09;interaction;upstairs;
9_Video_13;20;00:04:09;00:04:18;interaction;stay, ;
9_Video_13;20;00:04:18;00:04:19;interaction;walk;
9_Video_13;20;00:04:19;00:04:23;interaction;downstairs;
9_Video_13;20;00:04:23;00:04:27;interaction;fall down;
9_Video_13;20;00:04:27;00:04:33;interaction;stay;
9_Video_13;20;00:04:33;00:04:47;interaction;walk;
9_Video_13;20;00:04:47;00:05:00;interaction;stay;
9_Video_14;20;00:00:00;00:01:02;locationstay;outdoor, water;
9_Video_14;20;00:00:00;00:01:02;interaction;stay;
9_Video_14;20;00:00:00;00:00:05;mainmenu;window, close;
9_Video_14;20;00:00:08;00:01:02;mainmenu;menu, locations, change;
9_Video_14;20;00:01:02;00:01:06;teleport;location change;
9_Video_14;20;00:01:02;00:01:05;loadingscreen;load, new, area;
9_Video_14;20;00:01:06;00:03:15;locationstay;outdoor, street, city, walls;
9_Video_14;20;00:01:06;00:02:13;interaction;stay;
9_Video_14;20;00:01:06;00:01:12;mainmenu;window, close;
9_Video_14;20;00:01:28;00:01:28;interaction;object, click;
9_Video_14;20;00:01:28;00:02:04;mainmenu;window, information;
9_Video_14;20;00:02:13;00:03:12;interaction;walk;
9_Video_14;20;00:03:12;00:03:14;interaction;upstairs;
9_Video_14;20;00:03:14;00:03:22;interaction;walk;
9_Video_14;20;00:03:15;00:04:01;locationstay;indoor, sight, museum;
9_Video_14;20;00:03:22;00:03:33;interaction;stay, look around;
9_Video_14;20;00:03:33;00:03:40;interaction;walk;
9_Video_14;20;00:03:40;00:03:50;interaction;stay, look around;
9_Video_14;20;00:03:50;00:04:03;interaction;walk;
9_Video_14;20;00:04:01;00:04:55;locationstay;outdoor, street, city, walls;
9_Video_14;20;00:04:03;00:04:04;interaction;downstairs;
9_Video_14;20;00:04:04;00:04:18;interaction;walk;
9_Video_14;20;00:04:18;00:04:24;interaction;walk, against, wall;
9_Video_14;20;00:04:24;00:04:40;interaction;walk;
9_Video_14;20;00:04:40;00:04:55;interaction;stay, look around;
9_Video_15;20;00:00:00;00:01:23;locationstay;outdoor, courtyard;
9_Video_15;20;00:00:00;00:00:28;interaction;stay;
9_Video_15;20;00:00:04;00:01:00;mainmenu;menu, inventory, select;
9_Video_15;20;00:00:28;00:00:29;interaction;wave;
9_Video_15;20;00:00:29;00:00:46;interaction;stay;
9_Video_15;20;00:00:46;00:00:47;interaction;wave;
9_Video_15;20;00:00:47;00:01:23;interaction;stay;
9_Video_15;20;00:01:08;00:01:23;mainmenu;minimap;
9_Video_15;20;00:01:12;00:01:23;mainmenu;menu, places;
9_Video_15;20;00:01:23;00:01:28;teleport;location change;
9_Video_15;20;00:01:23;00:01:26;loadingscreen;load, new, area;
9_Video_15;20;00:01:26;00:03:26;locationstay;outdoor;
9_Video_15;20;00:01:26;00:01:31;mainmenu;menu, close ;
9_Video_15;20;00:01:28;00:01:43;interaction;stay;
9_Video_15;20;00:01:26;00:01:35;mainmenu;minimap, close;
9_Video_15;20;00:01:38;00:05:00;mainmenu;minimap, open;
9_Video_15;20;00:01:43;00:02:19;interaction;walk;
9_Video_15;20;00:02:19;00:02:33;interaction;stay;
9_Video_15;20;00:02:24;00:02:30;dialog;speak;
9_Video_15;20;00:02:33;00:02:39;interaction;walk;
9_Video_15;20;00:02:39;00:03:03;interaction;stay;
9_Video_15;20;00:02:52;00:02:59;mainmenu;show, profile;
9_Video_15;20;00:03:03;00:03:22;interaction;walk;
9_Video_15;20;00:03:22;00:03:26;interaction;upstairs;
9_Video_15;20;00:03:26;00:05:00;locationstay;indoor, garden;
9_Video_15;20;00:03:26;00:03:30;interaction;walk;
9_Video_15;20;00:03:30;00:03:35;interaction;stay;
9_Video_15;20;00:03:35;00:03:58;interaction;walk;
9_Video_15;20;00:03:58;00:04:08;interaction;stay;
9_Video_15;20;00:04:08;00:04:14;interaction;walk;
9_Video_15;20;00:04:14;00:04:19;interaction;upstairs;
9_Video_15;20;00:04:19;00:04:30;interaction;walk;
9_Video_15;20;00:04:30;00:04:37;interaction;upstairs;
9_Video_15;20;00:04:37;00:04:45;interaction;walk;
9_Video_15;20;00:04:45;00:05:00;interaction;stay;
9_Video_16;20;00:00:00;00:00:12;locationstay;indoor, garden;
9_Video_16;20;00:00:00;00:00:12;interaction;walk;
9_Video_16;20;00:00:12;00:01:02;locationstay;outdoor;
9_Video_16;20;00:00:12;00:00:17;interaction;downstairs;
9_Video_16;20;00:00:17;00:00:33;interaction;walk;
9_Video_16;20;00:00:33;00:00:51;interaction;run;
9_Video_16;20;00:00:51;00:01:02;interaction;stay;
9_Video_16;20;00:00:56;00:01:02;mainmenu;menu, places, open;
9_Video_16;20;00:01:02;00:01:04;loadingscreen;load, new, area;
9_Video_16;20;00:01:02;00:01:06;teleport;location change;
9_Video_16;20;00:01:04;00:02:31;locationstay;indoor, castle;
9_Video_16;20;00:01:04;00:01:13;mainmenu;menu, places, close;
9_Video_16;20;00:01:04;00:01:55;interaction;stay;
9_Video_16;20;00:01:16;00:02:31;mainmenu;menu, change, animation;
9_Video_16;20;00:01:55;00:02:00;interaction;wave;
9_Video_16;20;00:02:00;00:02:07;interaction;stay;
9_Video_16;20;00:02:03;00:02:31;mainmenu;minimap;
9_Video_16;20;00:02:07;00:02:15;interaction;walk;
9_Video_16;20;00:02:31;00:02:35;teleport;location change;
9_Video_16;20;00:02:31;00:02:34;loadingscreen;load, new, area;
9_Video_16;20;00:02:34;00:03:40;locationstay;outdoor, sandbox;
9_Video_16;20;00:02:34;00:03:40;mainmenu;minimap;
9_Video_16;20;00:02:34;00:03:40;mainmenu;menu, places;
9_Video_16;20;00:02:35;00:02:38;interaction;stay;
9_Video_16;20;00:02:38;00:02:48;interaction;walk;
9_Video_16;20;00:02:48;00:03:18;interaction;stay, look around;
9_Video_16;20;00:02:54;00:03:09;dialog;speak;
9_Video_16;20;00:03:18;00:03:27;interaction;walk;
9_Video_16;20;00:03:27;00:03:40;interaction;stay;
