Video;Metaverse name;Editor;Time (from);Time (to, optional);Action;Relevant Objects;Description;Unnamed: 8;Unnamed: 9
4_Video_1.mp4;World of Warcraft;4;00:00:48.100000;00:00:52;A1;Avatar auf Reittier;auf Reittier reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:52;;A9;Avatar auf Reittier;stehenbleiben, weiterreiten ohne Drehung;;
4_Video_1.mp4;World of Warcraft;4;00:00:52;00:00:57;A1;Avatar auf Reittier;auf Reittier reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:52.500000;00:00:57;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:58.350000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_1.mp4;World of Warcraft;4;00:00:58.899000;00:00:59.700000;A1;Avatar auf Reittier;weiterreiten;;
4_Video_1.mp4;World of Warcraft;4;00:00:59;;A6;Briefkasten, Postfenster;Briefkasten öffnen, das Postfenster öffnet sich;;
4_Video_2.mp4;World of Warcraft;4;00:00:00;;A1;Avatar auf Reittier;durch die Welt reiten;;
4_Video_2.mp4;World of Warcraft;4;00:00:00.900000;00:00:04.799000;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_2.mp4;World of Warcraft;4;00:00:05.299000;;A6;NPC, Interaktionsfenster;NPC ansprechen, ein Interaktionsfenster öffnet sich;;
4_Video_2.mp4;World of Warcraft;4;00:00:06.099000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_2.mp4;World of Warcraft;4;00:00:06.400000;00:00:07.200000;A1;Avatar auf Reittier;weiterreiten;;
4_Video_2.mp4;World of Warcraft;4;00:00:09; ;A4;Avatar auf Reittier, anderer Spieler;anderem Spieler zuwinken;;
4_Video_2.mp4;World of Warcraft;4;00:00:10.400000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_2.mp4;World of Warcraft;4;00:00:11.199000;00:00:12.800000;A1;Avatar auf Reittier;weiterreiten;;
4_Video_2.mp4;World of Warcraft;4;00:00:24.199000;00:00:51.299000;A7;Avatar;Teleport mit Ruhestein;;
4_Video_2.mp4;World of Warcraft;4;00:00:53.700000;;A8;Avatar;Drehung im Stand;;
4_Video_2.mp4;World of Warcraft;4;00:00:54.299000;00:01:01.799000;A1;Avatar;aus einem Gebäude heraus laufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:02.700000;00:00:03.200000;A1;Avatar;ein paar Schritte laufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:04.200000;;A6;Briefkasten, Postfenster;Briefkasten öffnen, das Postfenster öffnet sich;;
4_Video_3.mp4;World of Warcraft;4;00:00:04.299000;;A8;Avatar;Drehung im Stand;;
4_Video_3.mp4;World of Warcraft;4;00:00:06.799000;;A6;Avatar, NPC, Interaktionsfenster;Händler ansprechen;;
4_Video_3.mp4;World of Warcraft;4;00:00:08;00:00:24.899000;A1;Avatar;weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:08.500000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:10.199000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:13.599000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:17.600000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:20.100000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:20.800000;;A3;Avatar, Gebäudeeingang;Gebäude betreten;;
4_Video_3.mp4;World of Warcraft;4;00:00:25.399000;;A6;NPC, Interaktionsfenster;NPC ansprechen;;
4_Video_3.mp4;World of Warcraft;4;00:00:27.100000;;A4;Avatar, NPC;NPC zuwinken;;
4_Video_3.mp4;World of Warcraft;4;00:00:28.399000;;A8;Avatar;Drehung im Stand;;
4_Video_3.mp4;World of Warcraft;4;00:00:29.100000;00:00:31.600000;A1;Avatar;laufen im Gebäude;;
4_Video_3.mp4;World of Warcraft;4;00:00:29.800000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:30.899000;;A8;Avatar;Wechsel der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:31.600000;00:00:32.299000;A9;Avatar;stehenbleiben, kurz weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:32.700000;00:00:35.899000;A6;Avatar, Stuhl;auf Stuhl setzen, Blickrichtung ändert sich;;
4_Video_3.mp4;World of Warcraft;4;00:00:35.899000;00:00:40.100000;A1;Avatar;aufstehen, weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:36.799000;;A8;Avatar;Anpassung der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:40.100000;00:00:41.100000;A9;Avatar;stehenbleiben, kurz weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:41.500000;00:00:43.799000;A6;Frisörstuhl, Charakteranpassungsbildschirm;auf Frisörstuhl setzen;;
4_Video_3.mp4;World of Warcraft;4;00:00:45.100000;00:00:50.500000;A1;Avatar;weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:45.799000;;A8;Avatar;Anpassung der Laufrichtung;;
4_Video_3.mp4;World of Warcraft;4;00:00:51.200000;;A6;NPC, Interaktionsfenster;NPC ansprechen, ein Interaktionsfenster öffnet sich;;
4_Video_3.mp4;World of Warcraft;4;00:00:53.100000;00:01:01.100000;A1;Avatar;weiterlaufen;;
4_Video_3.mp4;World of Warcraft;4;00:00:54.600000;;A8;Avatar;Anpassung der Laufrichtung;;
4_Video_4.mp4;World of Warcraft;4;00:00:00;00:00:03;A1;Avatar auf Reittier;durch die Welt reiten;;
4_Video_4.mp4;World of Warcraft;4;00:00:01.399000;;A8;Avatar auf Reittier;Richtungswechsel;;
4_Video_4.mp4;World of Warcraft;4;00:00:03;00:00:04.200000;A9;Avatar auf Reittier, Avatar ohne Reittier;stehenbleiben und ohne Reittier weiterlaufen;;
4_Video_4.mp4;World of Warcraft;4;00:00:05.400000;;A8;Avatar;Drehung im Stand;;
4_Video_4.mp4;World of Warcraft;4;00:00:06.500000;;A6;NPC, Interaktionsfenster;NPC ansprechen, ein Interaktionsfenster öffnet sich;;
4_Video_4.mp4;World of Warcraft;4;00:00:08.599000;;A6;Interaktionsfenster;Interaktionsoption auswählen;;
4_Video_4.mp4;World of Warcraft;4;00:00:12.699000;;A6;NPC, Interaktionsfenster;NPC ansprechen, ein Interaktionsfenster öffnet sich;;
4_Video_4.mp4;World of Warcraft;4;00:00:14;;A6;Interaktionsfenster;Interaktionsoption auswählen, Fensterinhalt ändert sich;;
4_Video_4.mp4;World of Warcraft;4;00:00:15.099000;;A1;Avatar;seitlich laufen;;
4_Video_4.mp4;World of Warcraft;4;00:00:15.699000;00:00:16.600000;A9;Avatar;stehenbleiben und vorwärts laufen;;
4_Video_4.mp4;World of Warcraft;4;00:00:18.399000;;A6;Werkbank, Herstellungsfenster;Werkbank benutzen, Herstellungsfenster öffnet sich;;
4_Video_4.mp4;World of Warcraft;4;00:00:22.899000;00:00:36.299000;A6;Herstellungsfenster;Suche nach Aufträgen im Herstellungsfenster;;
4_Video_4.mp4;World of Warcraft;4;00:00:37;;A8;Avatar;Drehung im Stand;;
4_Video_4.mp4;World of Warcraft;4;00:00:37.700000;00:00:38.500000;A1;Avatar;laufen;;
4_Video_4.mp4;World of Warcraft;4;00:00:39.399000;;A6;NPC, Berufsausbildungsfenster;NPC ansprechen, das Berufsausbildungsfenster öffnet sich;;
4_Video_4.mp4;World of Warcraft;4;00:00:40.299000;;A8;Avatar;Drehung im Stand;;
4_Video_4.mp4;World of Warcraft;4;00:00:40.800000;00:00:45;A6;Berufsausbildungsfenster;Erlernen neuer Rezepte im Bersufsausbildungsfenster;;
4_Video_4.mp4;World of Warcraft;4;00:00:45.500000;;A8;Avatar;Drehung im Stand;;
4_Video_4.mp4;World of Warcraft;4;00:00:46.299000;00:00:49.799000;A1;Avatar;weiterlaufen;;
4_Video_5.mp4;World of Warcraft;4;00:00:00;;A1;Avatar auf Reittier;auf Reittier durch die Welt laufen;;
4_Video_5.mp4;World of Warcraft;4;00:00:01.899000;00:00:04.200000;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_5.mp4;World of Warcraft;4;00:00:07.599000;;A8;Avatar auf Reittier;Seitwärtsbewegung;;
4_Video_5.mp4;World of Warcraft;4;00:00:09.099000;;A9;Avatar auf Reittier;kurz stehenbleiben und weiterlaufen, Abheben zum Flug;;
4_Video_5.mp4;World of Warcraft;4;00:00:09.800000;00:00:21.200000;A1;Avatar auf Reittier;auf Reittier durch die Welt fliegen;;
4_Video_5.mp4;World of Warcraft;4;00:00:10.400000;;A8;Avatar auf Reittier;Richtunganpassung beim Flug;;
4_Video_5.mp4;World of Warcraft;4;00:00:12.300000;;A8;Avatar auf Reittier;Richtunganpassung beim Flug;;
4_Video_5.mp4;World of Warcraft;4;00:00:19.899000;;A3;Avatar auf Reittier;in Gebäudeeingang fliegen;;
4_Video_5.mp4;World of Warcraft;4;00:00:21.199000;00:00:27;A1;Avatar;zu Fuß im Geäude weiterlaufen;;
4_Video_5.mp4;World of Warcraft;4;00:00:24;;A8;Avatar;Richtungsanpassung;;
4_Video_5.mp4;World of Warcraft;4;00:00:26.199000;;A8;Avatar;Richtungsanpassung;;
4_Video_5.mp4;World of Warcraft;4;00:00:27.399000;;A6;NPC, Bankfenster, Inventarfenster;NPC ansprechen, Bankfenster und Inventarfenster öffnen sich;;
4_Video_5.mp4;World of Warcraft;4;00:00:29.100000;;A4;Avatar, NPC;NPC zuwinken;;
4_Video_5.mp4;World of Warcraft;4;00:00:31.100000;;A8;Avatar;Drehung im Stand;;
4_Video_5.mp4;World of Warcraft;4;00:00:31.699000;;A1;Avatar;weiterlaufen;;
4_Video_6.mp4;World of Warcraft;4;00:00:00;00:00:07.099000;A1;Avatar auf Reittier;auf Reittier durch die Welt laufen;;
4_Video_6.mp4;World of Warcraft;4;00:00:01.100000;;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:02.899000;;A3;Avatar auf Reittier, Gebäudeeingang;in ein Gebäude reiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:03.700000;00:00:06.599000;A8;Avatar auf Reittier;Richtunganpassung beim Reiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:07.700000;;A6;NPC, Interaktionsfenster;NPC ansprechen, Interaktionsfenster öffnet sich;;
4_Video_6.mp4;World of Warcraft;4;00:00:09.599000;;A6;Interaktionsfenster, Inventarfenster;Handelsoption auswählen, Inventarfenster öffnen sich;;
4_Video_6.mp4;World of Warcraft;4;00:00:10.599000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_6.mp4;World of Warcraft;4;00:00:11.900000;00:00:16.500000;A1;Avatar auf Reittier;weiterreiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:13.400000;;A8;Avatar auf Reittier;Drehung beim Reiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:14.400000;;A2;Avatar auf Reittier, Säule;Säule touchieren;;
4_Video_6.mp4;World of Warcraft;4;00:00:20.800000;;A8;Avatar auf anderem Reittier;Drehung im Stand;;
4_Video_6.mp4;World of Warcraft;4;00:00:21.699000;00:00:30.899000;A1;Avatar auf Reittier;weiterreiten;;
4_Video_6.mp4;World of Warcraft;4;00:00:22.699000;00:00:30.899000;A8;Avatar auf Reittier;Abheben und fliegen, Richtungsanpassungen beim Fliegen;;
4_Video_6.mp4;World of Warcraft;4;00:00:39;;A4;Avatar, anderer Spieler;anderem Spieler zuwinken;;
4_Video_6.mp4;World of Warcraft;4;00:00:45.500000;00:01:02.299000;A6;Avatar;Teleport mit Ruhestein;;
4_Video_7.mp4;World of Warcraft;4;00:00:01.899000;;A1;Avatar;loslaufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:03;;A8;Avatar;Richtungsanpassung;;
4_Video_7.mp4;World of Warcraft;4;00:00:05;00:00:06;A2;Avatar, Säule;gegen eine Säule laufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:09.400000;00:00:30.899000;A7;Avatar, Portal;Teleport mittels Portal;;
4_Video_7.mp4;World of Warcraft;4;00:00:33;;A8;Avatar;Drehung im Stand;;
4_Video_7.mp4;World of Warcraft;4;00:00:34.700000;00:00:40.100000;A1;Avatar;durch ein Gebäude laufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:35.200000;;A8;Avatar;Drehung beim Laufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:37.299000;;A8;Avatar;Richtungswechsel durch seitlich laufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:39.399000;;A8;Avatar;Drehung beim Laufen;;
4_Video_7.mp4;World of Warcraft;4;00:00:42.100000;00:01:00.899000;A7;Avatar, Portal;Teleport mittels Portal;;
4_Video_7.mp4;World of Warcraft;4;00:01:02;00:01:04.200000;A8;Avatar;Drehung im Stand;;
4_Video_7.mp4;World of Warcraft;4;00:01:04.200000;00:01:04.599000;A1;Avatar;ein paar Schritte laufen;;
4_Video_7.mp4;World of Warcraft;4;00:01:06;;A8;Avatar;Drehung im Stand;;
4_Video_7.mp4;World of Warcraft;4;00:01:09.299000;00:01:10.700000;A4;Chatfenster, anderer Spieler;„Emote“ mit anderem Spieler als Ziel;;
4_Video_7.mp4;World of Warcraft;4;00:01:12.500000;;A8;Avatar;Drehung im Stand;;
4_Video_7.mp4;World of Warcraft;4;00:01:13;00:01:14.500000;A1;Avatar;weiterlaufen;;
4_Video_7.mp4;World of Warcraft;4;00:01:14.599000;;A8;Avatar;Drehung ;;
4_Video_7.mp4;World of Warcraft;4;00:01:14.900000;00:01:16.900000;A1;Avatar;weiterlaufen;;
4_Video_7.mp4;World of Warcraft;4;00:01:16.900000;00:01:17.700000;A9;Avatar;stehenbleiben und seitlich weiterlaufen;;
4_Video_7.mp4;World of Warcraft;4;00:01:19.599000;;A6;Briefkasten, Postfenster;Briefkasten öffnen, das Postfenster öffnet sich;;
4_Video_7.mp4;World of Warcraft;4;00:01:20.500000;;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:00:02.399000;00:00:05.200000;A5;Chatfenster;Einzelchat (Whisper);;
4_Video_8.mp4;World of Warcraft;4;00:00:07.299000;;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:00:14.900000;00:00:20.100000;A10;Chatfenster;Gruppenchat;;
4_Video_8.mp4;World of Warcraft;4;00:00:20.100000;00:00:32.200000;A7;Avatar, Ladebildschirm;Teleport per Ruhestein;;
4_Video_8.mp4;World of Warcraft;4;00:00:37.500000;00:00:38.399000;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:00:38.399000;;A1;Avatar;aus dem Gebäude laufen;;
4_Video_8.mp4;World of Warcraft;4;00:00:44.399000;;A6;Briefkasten, Postfenster;Briefkasten öffnen, Postfenster öffnet sich;;
4_Video_8.mp4;World of Warcraft;4;00:00:44.400000;00:00:45.200000;A9;Avatar;am Briefkasten stehenbleiben, weiterlaufen;;
4_Video_8.mp4;World of Warcraft;4;00:00:45.200000;;A1;Avatar;weiterlaufen;;
4_Video_8.mp4;World of Warcraft;4;00:00:46.600000;;A8;Avatar;Drehung beim Laufen;;
4_Video_8.mp4;World of Warcraft;4;00:00:49.500000;;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:00:50.200000;00:00:59.600000;A1;Avatar mit Reittier, Avatar;losfliegen, absteigen, stehenbleiben;;
4_Video_8.mp4;World of Warcraft;4;00:00:59.600000;00:01:00.100000;A9;Avatar;kurz stehenbleiben, paar Schritte weiterlaufen;;
4_Video_8.mp4;World of Warcraft;4;00:01:01;;A6;Lederverarbeitungswerkbank, Herstellungsfenster;Werkbank benutzen, Herstellungsfenster öffnet sich;;
4_Video_8.mp4;World of Warcraft;4;00:01:03.600000;;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:01:04.599000;;A1;Avatar;weiterlaufen;;
4_Video_8.mp4;World of Warcraft;4;00:01:05.599000;;A8;Avatar;Dreung im Laufen;;
4_Video_8.mp4;World of Warcraft;4;00:01:09.599000;;A6;NPC, Handelsfenster, Inventarfenster;NPC ansprechen, Handels- und Inventarfenster öffnen sich;;
4_Video_8.mp4;World of Warcraft;4;00:01:11.900000;00:01:17.500000;A6;Inventarfenster, Handelsfenster;Gegenstände verkaufen, verschwinden aus Inventarfester, tauchen im Handelsfenster auf;;
4_Video_8.mp4;World of Warcraft;4;00:01:17.500000;;A8;Avatar;Drehung im Stand;;
4_Video_8.mp4;World of Warcraft;4;00:01:23;;A1;Avatar auf Reittier;losreiten;;
4_Video_8.mp4;World of Warcraft;4;00:01:24.200000;00:01:35;A8;Avatar auf Reittier;Richtungsanpassung beim Reiten;;
4_Video_9.mp4;World of Warcraft;4;00:00:01.500000;;A6;Flugmeister, Flugkarte;Flugmeister ansprechen, Flugkarte öffnet sich;;
4_Video_9.mp4;World of Warcraft;4;00:00:03.799000;;A6;Flugkarte, Avatar auf „Taxi“-Reittier;Flugpunkt aussuchen, Avatar fliegt los;;
4_Video_9.mp4;World of Warcraft;4;00:00:04.099000;00:00:35.600000;A1;Avatar auf „Taxi“-Reittier;Flug per „Taxi“-System;;
4_Video_9.mp4;World of Warcraft;4;00:00:06.500000;00:00:25.500000;A10;Chatfenster;im Gildenchat schreiben;;
4_Video_9.mp4;World of Warcraft;4;00:00:35.600000;00:00:45.799000;A5;Chatfenster;Einzelchat (Whisper);;
4_Video_9.mp4;World of Warcraft;4;00:00:47.200000;;A8;Avatar, Reittier;Drehung im Stand beim Beschwören des Reittiers;;
4_Video_9.mp4;World of Warcraft;4;00:00:50.200000;00:00:58.399000;A1;Avatar auf Reittier;auf Reittier fliegen;;
4_Video_9.mp4;World of Warcraft;4;00:00:52.500000;;A8;Avatar auf Reittier;Richtungsanpassungen beim Fliegen;;
4_Video_9.mp4;World of Warcraft;4;00:00:58.400000;00:01:06.700000;A9;Avatar auf Reittier;landen, drehen und weiterreiten;;
4_Video_9.mp4;World of Warcraft;4;00:01:07.299000;00:01:08.500000;A8;Avatar;Drehung im Stand;;
4_Video_9.mp4;World of Warcraft;4;00:01:08.299000;00:01:21.200000;A10;Chatfenster;Schreiben im Gildenchat;;
4_Video_9.mp4;World of Warcraft;4;00:01:24.500000;00:00:01.270000;A6;Avatar, Rucksack, Beutefenster;Rucksack öffnen, Beutefenster öffnet sich, Beute wird automatisch entnommen;;
4_Video_9.mp4;World of Warcraft;4;00:01:25.299000;;A8;Avatar;Drehung während des Öffnens;;Video
4_Video_10.mp4;World of Warcraft;4;00:00:00;00:00:00.400000;A10;Chatfenster;im Gildenchat schreiben;;
4_Video_10.mp4;World of Warcraft;4;00:00:00.400000;;A1;Avatar;loslaufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:05.799000;;A8;Avatar;Drehung im Laufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:09.400000;;A8;Avatar;abrupte Drehung im Laufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:11.699000;;A8;Avatar;Drehung im Laufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:12.800000;;A8;Avatar;Drehung im Laufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:18.399000;00:00:19;A9;Avatar;kurz stehenbleiben und weiterlaufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:21;00:00:23.899000;A5;Chatfenster;Einzelchat (Whisper);;
4_Video_10.mp4;World of Warcraft;4;00:00:21;00:00:24;A9;Avatar;stehenbleiben, weiterlaufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:26.899000;00:00:29.100000;A6;Avatar, Pflanze, Beutefenster;Pflanze einsammeln;;
4_Video_10.mp4;World of Warcraft;4;00:00:29.100000;;A8;Avatar;Drehung im Stand;;
4_Video_10.mp4;World of Warcraft;4;00:00:30.399000;00:00:31.699000;A1;Avatar;ein paar Schritte laufen;;
4_Video_10.mp4;World of Warcraft;4;00:00:31.700000;00:00:34;A9;Avatar, Reittier, Avatar auf Reittier;stehenbleiben, Reittier beschwören, auf Reittier weiterreiten;;
4_Video_10.mp4;World of Warcraft;4;00:00:34;00:00:55.200000;A1;Avatar auf Reittier;durch die Welt fliegen;;
4_Video_10.mp4;World of Warcraft;4;00:00:38.600000;;A8;Avatar auf Reittier;Sturzflug einleiten;;
4_Video_10.mp4;World of Warcraft;4;00:00:42.200000;;A8;Avatar auf Reittier;abdrehen in der Luft;;
4_Video_10.mp4;World of Warcraft;4;00:00:45.600000;;A8;Avatar auf Reittier;Richtungsanpassung beim Fliegen;;
4_Video_10.mp4;World of Warcraft;4;00:00:49.799000;;A8;Avatar auf Reittier;Richtungsanpassung beim Fliegen;;
4_Video_10.mp4;World of Warcraft;4;00:00:50.800000;;A8;Avatar auf Reittier;Richtungsanpassung beim Fliegen;;
4_Video_10.mp4;World of Warcraft;4;00:00:55.200000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_10.mp4;World of Warcraft;4;00:00:57.600000;;A6;NPC, Interaktionsfenster;NPC ansprechen, Interaktionsfenster öffnet sich;;
4_Video_10.mp4;World of Warcraft;4;00:00:59.500000;;A6;Interaktionsfenster;Gesprächsoption auswählen;;
4_Video_11.mp4;World of Warcraft;4;00:00:00;00:00:49.299000;A1;Avatar auf „Taxi“-Reittier;Flug per „Taxi“-System;;
4_Video_11.mp4;World of Warcraft;4;00:00:01.899000;00:00:05.900000;A10;Chatfenster;Schreiben im Gruppenchat;;
4_Video_11.mp4;World of Warcraft;4;00:00:49.799000;00:00:53.500000;A10;Chatfenster;Schreiben im Gruppenchat;;
4_Video_11.mp4;World of Warcraft;4;00:00:53.500000;00:00:54.600000;A8;Avatar;Drehung im Stand;;
4_Video_11.mp4;World of Warcraft;4;00:00:56.299000;00:01:01.299000;A5;Chatfenster, Avatar, anderer Avatar;Kommunikation über Emote („lachen“);;
4_Video_11.mp4;World of Warcraft;4;00:01:01.799000;;A1;Avatar;ein paar Schritte laufen;;
4_Video_11.mp4;World of Warcraft;4;00:01:03.100000;00:01:06.299000;A5;Chatfenster, Avatar, anderer Avatar;Kommunikation über Emote („sorry“);;
4_Video_12.mp4;World of Warcraft;4;00:00:00.900000;00:00:05.599000;A1;Avatar auf Reittier;durch die Welt reiten;;
4_Video_12.mp4;World of Warcraft;4;00:00:03;;A8;Avatar auf Reittier;Kurve im Flug;;
4_Video_12.mp4;World of Warcraft;4;00:00:05.590000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_12.mp4;World of Warcraft;4;00:00:05.590000;00:00:06.299000;A9;Avatar auf Reittier;landen, drehen und weiterreiten;;
4_Video_12.mp4;World of Warcraft;4;00:00:06.299000;00:00:06.599000;A1;Avatar auf Reittier;kurz weiterreiten;;
4_Video_12.mp4;World of Warcraft;4;00:00:07.599000;;A6;Avatar, Pflanze, Beutefenster;Pflanze ernten, Beutefenster öffnet und schließt sich;;
4_Video_12.mp4;World of Warcraft;4;00:00:08.900000;00:00:11.800000;A10;Chatfenster;Schreiben im Gruppenchat;;
4_Video_12.mp4;World of Warcraft;4;00:00:12.400000;;A8;Avatar;Drehung im Stand;;
4_Video_12.mp4;World of Warcraft;4;00:00:12.900000;00:00:15.199000;A1;Avatar;durch die Welt laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:13.400000;;A8;Avatar;Richtungsanpassung im Laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:15.199000;00:00:17.500000;A9;Avatar, Avatar auf Reittier;stehenbleiben, Reittier beschwören, auf Reittier weiterreiten;;
4_Video_12.mp4;World of Warcraft;4;00:00:17.500000;00:00:20.399000;A1;Avatar auf Reittier;durch die Welt reiten;;
4_Video_12.mp4;World of Warcraft;4;00:00:20.400000;;A8;Avatar auf Reittier;Drehung im Stand;;
4_Video_12.mp4;World of Warcraft;4;00:00:22;00:00:23.800000;A6;Avatar, Pflanze, Beutefenster;Pflanze ernten, Beutefenster öffnet und schließt sich;;
4_Video_12.mp4;World of Warcraft;4;00:00:23.800000;00:00:29.100000;A1;Avatar;durch die Welt laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:25.600000;;A8;Avatar;Richtungsanpassung im Laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:29.300000;00:00:32.899000;A10;Chatfenster;Schreiben im Gruppenchat;;
4_Video_12.mp4;World of Warcraft;4;00:00:29.100000;00:00:34;A9;Avatar;stehenbleiben, weiterlaufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:34;00:00:34.399000;A1;Avatar;paar Schritte laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:35.200000;00:00:37.100000;A6;Avatar, Pflanze, Beutefenster;Pflanze ernten, Beutefenster öffnet und schließt sich;;
4_Video_12.mp4;World of Warcraft;4;00:00:37.899000;;A1;Avatar;weiterlaufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:38.299000;;A8;Avatar;Drehung im Laufen;;
4_Video_12.mp4;World of Warcraft;4;00:00:39.899000;00:00:44;A6;Avatar, Enten;Enten angreifen;;
