Video;Metaverse name;Editor;Time (from);Time (to, optional);Action;Relevant Objects;Description
9_Video_6.mp4;Second Life;9;04:46:00;04:58:00;A6;avatar;reading information
9_Video_7.mp4;Second Life;9;00:00:00;00:18:00;A1;avatar;walking through the virtual world
9_Video_7.mp4;Second Life;9;00:18:00;00:20:00;A9;avatar;stay and go ahead
9_Video_7.mp4;Second Life;9;00:20:00;00:25:00;A8;avatar;changing direction
9_Video_7.mp4;Second Life;9;00:25:00;00:37:00;A9;avatar;standing
9_Video_7.mp4;Second Life;9;00:37:00;00:43:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;00:43:00;00:56:00;A1;avatar;flying through the virtual world
9_Video_7.mp4;Second Life;9;00:56:00;00:59:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;00:59:00;01:17:00;A1;avatar;flying through the virtual world
9_Video_7.mp4;Second Life;9;01:17:00;01:22:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:22:00;01:24:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:24:00;01:25:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:25:00;01:25:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:25:00;01:31:00;A1;avatar;flying through the virtual world
9_Video_7.mp4;Second Life;9;01:31:00;01:33:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:33:00;01:41:00;A9;avatar;standing
9_Video_7.mp4;Second Life;9;01:41:00;01:41:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;01:41:00;02:52:00;A1;avatar, boat;sailing through the virtual world
9_Video_7.mp4;Second Life;9;02:52:00;02:52:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;02:52:00;03:22:00;A1;avatar;walking through the virtual world
9_Video_7.mp4;Second Life;9;03:22:00;03:22:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;03:22:00;03:29:00;A1;avatar;flying through the virtual world
9_Video_7.mp4;Second Life;9;03:29:00;03:49:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;03:49:00;04:11:00;A1;avatar;flying through the virtual world
9_Video_7.mp4;Second Life;9;04:11:00;04:18:00;A6;user, system;interacting with the system
9_Video_7.mp4;Second Life;9;04:18:00;04:21:00;A9;avatar;standing
9_Video_7.mp4;Second Life;9;04:21:00;04:40:00;A1;avatar;walking through the virtual world
9_Video_7.mp4;Second Life;9;04:40:00;04:46:00;A2;avatar, window;walking into a window
9_Video_7.mp4;Second Life;9;04:46:00;04:49:00;A1;avatar;walking through the virtual world
9_Video_7.mp4;Second Life;9;04:49:00;04:52:00;A8;avatar;changing direction
9_Video_7.mp4;Second Life;9;04:52:00;04:57:00;A1;avatar;walking through the virtual world
9_Video_7.mp4;Second Life;9;04:57:00;04:58:00;A8;avatar;changing direction
9_Video_7.mp4;Second Life;9;04:58:00;05:00:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;00:00:00;00:07:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;00:07:00;00:10:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;00:10:00;00:14:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;00:14:00;00:17:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;00:17:00;00:25:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;00:25:00;00:26:00;A8;avatar;changing direction
9_Video_8.mp4;Second Life;9;00:26:00;00:30:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;00:30:00;00:32:00;A8;avatar;changing direction
9_Video_8.mp4;Second Life;9;00:32:00;00:35:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;00:35:00;00:36:00;A8;avatar;changing direction
9_Video_8.mp4;Second Life;9;00:36:00;00:38:00;A2;avatar, building, door;waiting in front of a door
9_Video_8.mp4;Second Life;9;00:38:00;00:43:00;A3;user, avatar, door;opening a door, entering a building
9_Video_8.mp4;Second Life;9;00:43:00;00:44:00;A8;avatar, building;changing direction
9_Video_8.mp4;Second Life;9;00:44:00;00:49:00;A1;avatar, building;walking through a building
9_Video_8.mp4;Second Life;9;00:49:00;00:51:00;A8;avatar, building;changing direction
9_Video_8.mp4;Second Life;9;00:51:00;00:53:00;A1;avatar, building;walking through a building
9_Video_8.mp4;Second Life;9;00:53:00;00:53:00;A2;avatar, building, door;waiting in front of a door
9_Video_8.mp4;Second Life;9;00:53:00;00:56:00;A3;user, avatar, door;opening a door, going on balcony
9_Video_8.mp4;Second Life;9;00:56:00;01:07:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;01:07:00;01:09:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;01:09:00;01:11:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;01:11:00;01:27:00;A1;avatar;flying through the virtual world
9_Video_8.mp4;Second Life;9;01:27:00;01:27:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;01:27:00;01:38:00;A9;avatar;stay and go ahead
9_Video_8.mp4;Second Life;9;01:38:00;01:40:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;01:40:00;01:41:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;01:41:00;01:43:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;01:43:00;01:45:00;A8;avatar;changing direction
9_Video_8.mp4;Second Life;9;01:45:00;01:59:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;01:59:00;02:08:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;02:08:00;02:37:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;02:37:00;02:40:00;A7;avatar;teleporting to another place
9_Video_8.mp4;Second Life;9;02:40:00;02:44:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;02:44:00;02:48:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;02:48:00;02:58:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;02:58:00;03:02:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;03:02:00;03:02:00;A2;avatar, stairs;stepping on stairs
9_Video_8.mp4;Second Life;9;03:02:00;03:09:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;03:09:00;03:12:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;03:12:00;03:22:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;03:22:00;03:25:00;A6;user, system;interacting with the system
9_Video_8.mp4;Second Life;9;03:25:00;03:29:00;A7;avatar;teleporting to another place
9_Video_8.mp4;Second Life;9;03:29:00;03:48:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;03:48:00;04:14:00;A1;avatar;walking through the virtual world
9_Video_8.mp4;Second Life;9;04:14:00;04:42:00;A9;avatar;standing
9_Video_8.mp4;Second Life;9;04:42:00;04:42:00;A8;avatar;changing direction
