Video;Metaverse name;Editor;Second (from);Second (to, optional);Action;Relevant Objects;Description
5_TS_17.mkv;The Sandbox;5;76.0;83.0;A1, A8;Avatar, sign ;Avatar runs to sign, collects objective, does 360° turn and runs around 
5_TS_17.mkv;The Sandbox;5;84.0;86.0;A2;Avatar, tree;Avatar runs against tree
5_TS_17.mkv;The Sandbox;5;86.0;94.0;A1;Avatar;Avtar runs around and does a front roll
5_TS_17.mkv;The Sandbox;5;94.0;97.0;A10;Avatar, NPC Bear;Avatar talks to NPC bear
5_TS_17.mkv;The Sandbox;5;98.0;121.0;A1, A8;Avatar, sign ;Avatar runs to sign, collects objective, does 360° turn and runs around 
5_TS_17.mkv;The Sandbox;5;84.0;86.0;A2;Avatar, house;Avatar runs against door of a house
5_TS_16.mkv;The Sandbox;5;5.0;8.0;A4;Avatar, NPC;Avatar Waves towards NPC
5_TS_16.mkv;The Sandbox;5;12.0;24.0;A10;Avatar, NPC;Avatar chats with NPC
5_TS_16.mkv;The Sandbox;5;25.0;45.0;A1 ;Avatar, NPC;Avatar runs around, messages frm NPCs are shown
5_TS_16.mkv;The Sandbox;5;46.0;53.0;A9;Avatar ;Avatar runs , stops and runs again 2 times
5_TS_16.mkv;The Sandbox;5;55.0;67.0;A1;Avatar, NPC;Avatar runs around, messages frm NPCs are shown, NPC walks through Avatar
5_TS_16.mkv;The Sandbox;5;68.0;89.0;A10;Avatar, NPC;Avatar chats with NPC
5_TS_16.mkv;The Sandbox;5;94.0;96.0;A3;Avatar, Tent;Avatar enters tent
5_TS_16.mkv;The Sandbox;5;98.0;105.0;A6;Avatar, Holographic Message;Avatar reads the holographic message
5_TS_16.mkv;The Sandbox;5;114.0;116.0;A3;Avatar, Tent;Avatar exits tent
5_TS_16.mkv;The Sandbox;5;125.0;128.0;A8;Avatar;Avatar changes direction 360°
5_TS_16.mkv;The Sandbox;5;134.0;136.0;A9;Avatar ;Avatar runs , stops and runs again 
5_TS_16.mkv;The Sandbox;5;137.0;139.0;A2;Avatar, Stone Wall;Avatar runs against stone Wall
5_TS_16.mkv;The Sandbox;5;143.0;145.0;A8;Avatar;Avatar changes direction 90° twice
5_TS_15.mkv;The Sandbox;5;0.0;15.0;A1;Avatar, QR Code, Billboard, NPC;Avatar looks at QR code and Billboar and attemps to talk to NPC
5_TS_15.mkv;The Sandbox;5;16.0;22.0;A4;Avatar ;Avatar Waves
5_TS_15.mkv;The Sandbox;5;24.0;28.0;A4;Avatar ;Avatar agrees
5_TS_15.mkv;The Sandbox;5;33.0;51.0;A4;Avatar ;Avatar dances
5_TS_15.mkv;The Sandbox;5;53.0;55.0;A4;Avatar;Avatar Waves
5_TS_15.mkv;The Sandbox;5;58.0;62.0;A9;Avatar;Avatar runs at full speed, stops  and then runs again
5_TS_15.mkv;The Sandbox;5;64.0;67.0;A2;Avatar;Avatar runs against a Wall
5_TS_15.mkv;The Sandbox;5;70.0;116.0;A1;Avatar, NPC;Avatar runs around observes NPCs and 
5_TS_15.mkv;The Sandbox;5;116.0;;A1;Avatar, Arrow laddar;Avatar climbs up a ladder, falls down, and continues
5_TS_15.mkv;The Sandbox;5;126.0;130.0;A2;Avatar, NPC;Avatar get's stuck against objects and NPCs
5_TS_15.mkv;The Sandbox;5;131.0;162.0;A1;Avatar, coins;Avatar runs around and collects coins 
5_TS_15.mkv;The Sandbox;5;161.0;163.0;A9;Avatar;Avatar runs , stops and then runs again
5_TS_15.mkv;The Sandbox;5;163.0;166.0;A3;Avatar, Subway;Avatar enters subway
5_TS_15.mkv;The Sandbox;5;172.0;174.0;A3;Avatar, Subway;Avatar exits subway
5_TS_15.mkv;The Sandbox;5;177.0;179.0;A8;Avatar;Avatar runs into dead end and changes direction
5_TS_14.mkv;The Sandbox;5;0.0;5.0;A9;Avatar;Avatar runs and stops multiple times
5_TS_14.mkv;The Sandbox;5;5.0;15.0;A1;Avatar, Animal (Squirrel);Avatar observes Squirrel 
5_TS_14.mkv;The Sandbox;5;18.0;19.0;A8, A2;Avatar, Tree;Avatar bumbs into tree and turn saround 360°
5_TS_14.mkv;The Sandbox;5;20.0;43.0;A1;Avatar, Animal (Birds);Avatar runs aroud, looks up for a few seconds observes a birds
5_TS_14.mkv;The Sandbox;5;51.0;53.0;A9;Avatar;Avatar runs and stops and runs again 
5_TS_14.mkv;The Sandbox;5;53.0;63.0;A1;Avatar, Gras;Avatar runs very fast through gras
5_TS_14.mkv;The Sandbox;5;63.0;65.0;A9;Avatar;Avatar stops, turns slightly and continues running
5_TS_14.mkv;The Sandbox;5;83.0;86.0;A10, A7;Avatar, Teleportation platform ;Teleportation Platform asks Avatar if he wishes to teleport, Avatar affirms and teleports
5_TS_14.mkv;The Sandbox;5;98.0;100.0;A10;Avatar, Control Screen;Avatar unsuccessfully tries to talk to control screen
5_TS_14.mkv;The Sandbox;5;101.0;104.0;A2;Avatar, Electrical Door;Avatar tries to pass through electrical door but doe not suceed
5_TS_14.mkv;The Sandbox;5;122.0;124.0;A7;Avatar, Teleportation platform ;Teleportation Platform asks Avatar if he wishes to teleport, Avatar affirms and teleports back to where he came from 
