Video;Metaverse name;Editor;Frame (from);Frame (to, optional);Action;Relevant Objects;Description
8_Video_ 10;Decentraland;8;45.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 10;Decentraland;8;305.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 10;Decentraland;8;335.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;447.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 10;Decentraland;8;550.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;857.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 10;Decentraland;8;1155.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;1155.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 10;Decentraland;8;1155.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 10;Decentraland;8;1279.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;1485.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;1664.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 10;Decentraland;8;1664.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 10;Decentraland;8;1695.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 10;Decentraland;8;1870.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 10;Decentraland;8;1870.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;30.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 11;Decentraland;8;430.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;938.0;;A2;Avatar, Parkbank;gegen Prakbank gelaufen
8_Video_ 11;Decentraland;8;940.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;1022.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1122.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1122.0;;A2;Avatar, Bahnsteig;gegen Bahnsteig gelaufen
8_Video_ 11;Decentraland;8;1122.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;1344.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1451.0;;A2;Avatar, Straßenbahn;gegen Straßenbahn gelaufen
8_Video_ 11;Decentraland;8;1451.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;1470.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1550.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1695.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1720.0;;A2;Avatar, Parkbank;gegen Parkbank gelaufen
8_Video_ 11;Decentraland;8;1720.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;1750.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;1920.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;2050.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;2459.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;2637.0;;A2;Avatar, Bahnsteig;gegen Bahnsteig gelaufen
8_Video_ 11;Decentraland;8;2637.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;2672.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;2866.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;3155.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;3355.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 11;Decentraland;8;3355.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;3355.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;3480.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;3804.0;;A2;Avatar, Parkbank;gegen Parkbank gelaufen
8_Video_ 11;Decentraland;8;3804.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;3804.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;4086.0;;A2;Avatar, Parkbank;gegen Parkbank gelaufen
8_Video_ 11;Decentraland;8;4086.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;4086.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;4275.0;;A2;Avatar, Parkbank;gegen Parkbank gelaufen
8_Video_ 11;Decentraland;8;4275.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 11;Decentraland;8;4275.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;4879.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;5140.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;5310.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 11;Decentraland;8;5360.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 11;Decentraland;8;5360.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;62.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;227.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;480.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;570.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;740.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;1000.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;1180.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;1233.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;1440.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;1530.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;1705.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;1785.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;1920.0;;A7;Avatar, Map;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 12;Decentraland;8;1980.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 12;Decentraland;8;2249.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;2384.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;2530.0;;A7;Avatar, Map;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 12;Decentraland;8;2600.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 12;Decentraland;8;2775.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;2845.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 12;Decentraland;8;2960.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;3145.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 12;Decentraland;8;3260.0;;A7;Avatar, Map;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 12;Decentraland;8;3940.0;;A7;Avatar, Map;"sich zu einem anderen Ort ""teleportieren"" "
8_Video_ 13;Decentraland;8;40.0;;A6;Bild, Axies;Axies kommandieren
8_Video_ 13;Decentraland;8;40.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 13;Decentraland;8;157.0;;A6;Bild, Axies;Axies kommandieren
8_Video_ 13;Decentraland;8;148.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 13;Decentraland;8;341.0;;A6;Bild, Axies;Axies kommandieren
8_Video_ 13;Decentraland;8;400.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;519.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;629.0;;A5;Avatar, NPC;NPC weil ich keine Spieler gefunden habe
8_Video_ 13;Decentraland;8;629.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 13;Decentraland;8;1224.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;1240.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 13;Decentraland;8;1292.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;1369.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;1470.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;1525.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;1560.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;1755.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;1900.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;2006.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;2040.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;2180.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;2275.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;2370.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;2450.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;2480.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;2845.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;3038.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;3095.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;3345.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 13;Decentraland;8;3404.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 13;Decentraland;8;3660.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;45.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 14;Decentraland;8;99.0;;A6;Avatar, Parcel;RPG Spiel wird gestartet
8_Video_ 14;Decentraland;8;215.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;256.0;;A6;Avatar, Menü;Interaktion mit dem RPG Menü
8_Video_ 14;Decentraland;8;820.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;840.0;;A5;Avatar, NPC;NPC weil ich keine Spieler gefunden habe
8_Video_ 14;Decentraland;8;1260.0;;A6;Avatar, Menü;Interaktion mit dem RPG Menü
8_Video_ 14;Decentraland;8;1519.0;;A2;Avatar, Wand;gegen Wand gelaufen
8_Video_ 14;Decentraland;8;1519.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;1550.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 14;Decentraland;8;1614.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;1620.0;;A5;Avatar, NPC;NPC weil ich keine Spieler gefunden habe
8_Video_ 14;Decentraland;8;1990.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 14;Decentraland;8;2119.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;2140.0;;A5;Avatar, NPC;NPC weil ich keine Spieler gefunden habe
8_Video_ 14;Decentraland;8;2675.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;2821.0;;A5;Avatar, NPC;NPC weil ich keine Spieler gefunden habe
8_Video_ 14;Decentraland;8;3410.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 14;Decentraland;8;3430.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 14;Decentraland;8;3500.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 14;Decentraland;8;3630.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 15;Decentraland;8;120.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;221.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;347.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;520.0;;A4;Avatar;Emote: Fist Pump
8_Video_ 15;Decentraland;8;620.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;730.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;860.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;1010.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;1160.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;1285.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;1479.0;;A4;Avatar;Emote: Raise Hand
8_Video_ 15;Decentraland;8;1680.0;;A4;Avatar;Emote: Hands Air
8_Video_ 15;Decentraland;8;2727.0;;A4;Avatar;Emote: Clap
8_Video_ 15;Decentraland;8;3036.0;;A4;Avatar;Emote: Hands Air
8_Video_ 15;Decentraland;8;3210.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;3380.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;3500.0;;A4;Avatar;Emote: Wave
8_Video_ 15;Decentraland;8;3613.0;;A4;Avatar;Emote: Wave
8_Video_ 16;Decentraland;8;28.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 16;Decentraland;8;164.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;410.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;740.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;900.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;910.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;940.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;980.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;1220.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;1460.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;1550.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;1760.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;2080.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;2100.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;2485.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;2520.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;2620.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;2870.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;3020.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;3307.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 16;Decentraland;8;3450.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 16;Decentraland;8;3600.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 17;Decentraland;8;60.0;;A1;Avatar;durch die virtuelle Welt laufen 
8_Video_ 17;Decentraland;8;115.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;160.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;360.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 17;Decentraland;8;367.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;800.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;930.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;1030.0;;A8;Avatar;die Richtung wechseln 
8_Video_ 17;Decentraland;8;1095.0;;A3;Avatar, Gebäude;ein Gebäude betreten 
8_Video_ 17;Decentraland;8;1035.0;;A9;Avatar;stehen bleiben und weiter laufen 
8_Video_ 17;Decentraland;8;1165.0;;A8;Avatar;die Richtung wechseln 
